topic,abstract,criteria,dataset
A meta-analysis on the role older adults with cancer favour in treatment decision making,"Introduction: In the complex setting of oncological treatment decision making, balancing professional guidance while respecting patient involvement can be a challenge. We set out to assess the role adults with cancer favour in treatment decision making (TDM), including differences across age groups and change over time. Materials and methods: A systematic search was performed in MEDLINE and Embase, for studies on role preference of (older) adults with cancer in oncological treatment decision making. A meta-analysis was conducted based on Control Preference Scale (CPS) data, a questionnaire on patient role preference in TDM. Results: This meta-analysis includes 33 studies reporting CPS data comprising 17,197 adults with cancer. Mean age was 60.6 years old for studies that specified age (24 studies, 6155 patients). During the last decade, patients' role preference shifted towards significantly more active involvement in TDM (p = 0.006). No age-dependent subgroup differences have been identified; both younger and older adults, defined as, respectively, below and above 65 years old, favour active involvement in treatment decision making. Discussion: Over time, adults with cancer have shifted towards more active role preference in treatment decision making. In current cancer care, a large majority prefers taking an active role, irrespective of age.","Studies included in this review were performed among adults (defined as eighteen years and older) with cancer treated in research centres that are part of a western healthcare system (including: European Union, United Kingdom, United States of America, Canada, Japan, Australia, and New Zealand). Japan was included, as previous studies have shown that the Japanese healthcare system is comparable to the western health care system [9,10]. We excluded conference abstracts, non-original research, studies on paediatric population (defined as younger than eighteen years old), as well as studies addressing specific ethnographic subgroups within western healthcare systems. For meta-analysis purposes, studies were filtered on reporting data from the Control Preference Scale (CPS), which is a questionnaire to assess the patients' preference for their role in treatment decision making (Table 1) [11].",
A Systematic Review Comparing Experimental Design of Animal and Human Methotrexate Efficacy Studies for Rheumatoid Arthritis: Lessons for the Translational Value of Animal Studies,"Increased awareness and understanding of current practices in translational research is required for informed decision making in drug development. This paper describes a systematic review of methotrexate for rheumatoid arthritis, comparing trial design between 147 animal and 512 human studies. Animal studies generally included fewer subjects than human studies, and less frequently reported randomisation and blinding. In relation to life span, study duration was comparable for animals and humans, but included animals were younger than included humans. Animal studies often comprised males only (61%), human studies always included females (98% included both sexes). Power calculations were poorly reported in both samples. Analyses of human studies more frequently comprised Chi-square tests, those of animal studies more frequently reported analyses of variance. Administration route was more variable, and more frequently reported in animal than human studies. Erythrocyte sedimentation rate and c-reactive protein were analysed more frequently in human than in animal studies. To conclude, experimental designs for animal and human studies are not optimally aligned. However, methotrexate is effective in treating rheumatoid arthritis in animal models and humans. Further evaluation of the available evidence in other research fields is needed to increase the understanding of translational success before we can optimise translational strategies.","We included all studies in which MTX was administered to RA patients or RA animal models in our ongoing review. We excluded studies on other diseases than RA, studies that were not in vivo, studies that did not administer MTX (or only had treatment groups co-administering MTX with other experimental drugs), studies that did not analyse efficacy (e.g., safety studies), and publications that did not contain new data (e.g., reviews and editorials).",
Bayesian PTSD-Trajectory Analysis with Informed Priors Based on a Systematic Literature Search and Expert Elicitation,"There is a recent increase in interest of Bayesian analysis. However, little effort has been made thus far to directly incorporate background knowledge via the prior distribution into the analyses. This process might be especially useful in the context of latent growth mixture modeling when one or more of the latent groups are expected to be relatively small due to what we refer to as limited data. We argue that the use of Bayesian statistics has great advantages in limited data situations, but only if background knowledge can be incorporated into the analysis via prior distributions. We highlight these advantages through a data set including patients with burn injuries and analyze trajectories of posttraumatic stress symptoms using the Bayesian framework following the steps of the WAMBS-checklist. In the included example, we illustrate how to obtain background information using previous literature based on a systematic literature search and by using expert knowledge. Finally, we show how to translate this knowledge into prior distributions and we illustrate the importance of conducting a prior sensitivity analysis. Although our example is from the trauma field, the techniques we illustrate can be applied to any field.","In the second round, the full-text articles were independently read and screened by RvdS and MS for the following inclusion criteria: (a) longitudinal studies with at least three measurement waves measuring PTSD, (b) studies that measured PTSD on a continuous scale via an interview or questionnaire, (c) and studies that used a clustering method (LGMM, LCGA, hierarchical cluster analysis), (d) traumatic stress symptoms following events that appeared to fulfill DSM-IV criterion A1 for PTSD or acute stress disorder. ",
Cerebral small vessel disease and the risk of dementia: A systematic review and meta_analysis of population_based evidence,"Introduction: Cerebral small vessel disease is increasingly linked to dementia. Methods: We systematically searched Medline, Embase, and Cochrane databases for prospective population-based studies addressing associations of white matter hyperintensities, covert brain infarcts (i.e., clinically silent infarcts), and cerebral microbleeds with risk of all-dementia or Alzheimer's disease and performed meta-analyses. Results: We identified 11 studies on white matter hyperintensities, covert brain infarcts, or cerebral microbleeds with risk of all-dementia or Alzheimer's disease. Pooled analyses showed an association of white matter hyperintensity volume and a borderline association of covert brain infarcts with risk of all-dementia (hazard ratio: 1.39 [95% confidence interval: 1.00; 1.94], N = 3913, and 1.47 [95% confidence interval: 0.97; 2.22], N = 8296). Microbleeds were not statistically significantly associated with an increased risk of all-dementia (hazard ratio: 1.25 [95% confidence interval: 0.66; 2.38], N = 8739). Discussion: White matter hyperintensities are associated with an increased risk of all-dementia and Alzheimer's disease in the general population. However, studies are warranted to further determine the role of markers of cerebral small vessel disease in dementia.","For the current review, we used the following inclusion criteria: (1) all studies had to be prospective population-based cohort studies. Inherent to the nature of population-based studies this meant that except for a selection criterion of age, no other selection criteria were applied; (2) cerebral imaging had to be performed (either magnetic resonance imaging [MRI] or computed tomography) for the visualization of white matter hyperintensities, covert brain infarcts, or microbleeds; (3) all studies had to have investigated the association of any of the three pathologies with the risk of incident all-dementia or AD. We specifically note that we chose all-dementia as primary outcome measure, given that the syndrome diagnosis of dementia can be defined with high consistency across studies and is less dependent on advanced diagnostic testing, which is often not feasible in large population-based studies. Still, we acknowledge the importance of various neuropathologies underlying the clinical manifestation of dementia. To provide additional insight into the association of cerebral small vessel disease with dementia independent of manifest cerebrovascular disease, we also highlighted the associations with a diagnosis of AD (if available in the study) as a secondary outcome measure. We restricted our inclusion to original articles that were written in English and excluded review articles, case reports, conference papers, and editorials.",
Comparability of Objective Structured Clinical Examinations (OSCEs) and Written Tests for Assessing Medical School Students’ Competencies: A Scoping Review,"Objective Structured Clinical Examinations (OSCEs) and written tests are commonly used to assess health professional students, but it remains unclear whether the additional human resources and expenses required for OSCEs, both in-person and online, are worthwhile for assessing competencies. This scoping review summarized literature identified by searching MEDLINE and EMBASE comparing 1) OSCEs and written tests and 2) in-person and online OSCEs, for assessing health professional trainees' competencies. For Q1, 21 studies satisfied inclusion criteria. The most examined health profession was medical trainees (19, 90.5%), the comparison was most frequently OSCEs versus multiple-choice questions (MCQs) (18, 85.7%), and 18 (87.5%) examined the same competency domain. Most (77.5%) total score correlation coefficients between testing methods were weak (r < 0.40). For Q2, 13 articles were included. In-person and online OSCEs were most used for medical trainees (9, 69.2%), checklists were the most prevalent evaluation scheme (7, 63.6%), and 14/17 overall score comparisons were not statistically significantly different. Generally low correlations exist between MCQ and OSCE scores, providing insufficient evidence as to whether OSCEs provide sufficient value to be worth their additional cost. Online OSCEs may be a viable alternative to in-person OSCEs for certain competencies where technical challenges can be met.","Our inclusion criteria are highlighted as follows within the PICOTS framework (Guyatt et al., 2015). For Q1 (OSCEs vs. written tests), the Population was health professional trainees (e.g., students or residents), excluding veterinary trainees; the Intervention was OSCE stations; the Comparator was written or typed testing methods (e.g., multiple-choice questions, short/long form answers); the Outcomes were overall score comparisons and individual competency domain score comparisons, as measured by the study itself; the Timeframe included studies published between 1946 and 2021; and the Study design/type included studies that had to have a control/comparison group (e.g., RCTs, cohort studies, case–control studies, historical controls). Included studies also had to report primary data and be written in English. For Q2 (online vs. in-person OSCEs), the Population was health professional trainees (e.g., students or residents), excluding veterinary trainees; the Intervention was online OSCE stations (test taker communicates information through an online platform); the Comparator was in-person OSCE stations (test taker communicates information in a face-to-face, in-person setting); the Outcomes were overall score comparisons, individual competency domain score comparisons, and logistics, feasibility, and resource intensity, as measured by the study itself; the Timeframe included studies published between 2000 and 2021 (timeframe was reduced as online OSCEs are a recent phenomenon); and the Study design/type included studies that had to have a control/comparison group (e.g., RCTs, cohort studies, case–control studies, historical controls). Included studies also had to report primary data and be written in English. For both research questions, editorials, commentaries, and guidelines were excluded. Conference abstracts were considered since they may have relevant information or data.",
Comparative effectiveness of common therapies for Wilson disease: A systematic review and meta_analysis of controlled studies,"Background & aims: Wilson disease (WD) is a rare disorder of copper metabolism. The objective of this systematic review was to determine the comparative effectiveness and safety of common treatments of WD. Methods: We included WD patients of any age or stage and the study drugs D-penicillamine, zinc salts, trientine and tetrathiomolybdate. The control could be placebo, no treatment or any other treatment. We included prospective, retrospective, randomized and non-randomized studies. We searched Medline and Embase via Ovid, the Cochrane Central Register of Controlled Trials, and screened reference lists of included articles. Where possible, we applied random-effects meta-analyses. Results: The 23 included studies reported on 2055 patients and mostly compared D-penicillamine to no treatment, zinc, trientine or succimer. One study compared tetrathiomolybdate and trientine. Post-decoppering maintenance therapy was addressed in one study only. Eleven of 23 studies were of low quality. When compared to no treatment, D-penicillamine was associated with a lower mortality (odds ratio 0.013; 95% CI 0.0010 to 0.17). When compared to zinc, there was no association with mortality (odds ratio 0.73; 95% CI 0.16 to 3.40) and prevention or amelioration of clinical symptoms (odds ratio 0.84; 95% CI 0.48 to 1.48). Conversely, D-penicillamine may have a greater impact on side effects and treatment discontinuations than zinc. Conclusions: There are some indications that zinc is safer than D-penicillamine therapy while being similarly effective in preventing or reducing hepatic or neurological WD symptoms. Study quality was low warranting cautious interpretation of our findings.","We included WD patients of any age or stage. The study drug had to be one of four established therapies, namely DPen, trientine, TTM or Zn. The control could be placebo, no treatment or any other treatment that does not include the respective study drug (eg Zn vs trientine was allowed, Zn 50 mg vs Zn 100 mg was not allowed). Concomitant therapies had to be identical in the compared treatment arms (eg trientine plus Zn vs TTM plus Zn). Comparisons between monotherapy and combination therapy regimens that included the respective monotherapy drug (eg DPen plus Zn vs Zn) have been analysed elsewhere23 and were not considered any further here. We included studies that reported all-cause mortality, orthotopic liver transplantation (OLT), neurological symptoms (eg dystonia, dysarthria, cognitive decline, drooling, tremor, gait disturbance, chorea, seizure, psychosis), liver-related symptoms (eg icterus, ascites, steatosis, fibrosis, mild hepatitis, acute liver failure, cirrhosis, serum transaminases), adverse effects (eg dermatological manifestations, nephrotoxicity, pulmonary toxicity, autoimmune disorders, anaemia, neutrophilic agranulocytosis, thrombocytopenia, hypothyroidism, liver dysfunction, colitis, status dystonicus, myasthenia gravis, arthropathy, macromastia, early neurological deterioration, gastrointestinal irritation), and frequency of treatment discontinuation (ie switching to another drug, stopping or changing the treatment). We included prospective and retrospective studies, including randomized, non-randomized controlled trials and comparative observational studies that were written in English, German, Dutch, French, Spanish or Portuguese. Animal studies, case reports, case series, cross-sectional studies, before-after studies, reviews, letters, abstract-only publications, editorials, diagnostic or other testing studies and non-controlled studies were excluded. No publication date restrictions were applied.",
Comparative efficacy and safety of long-acting oral opioids for chronic non-cancer pain: a systematic review,"Opioids have been endorsed as appropriate treatment for refractory chronic non-cancer pain when used according to published guidelines. They are widely used for this indication. However, there appear to be gaps in our understanding of the efficacy and safety of individual long-acting opioids compared to each other or as a class compared to short-acting opioids. This systematic review summarizes and assesses the evidence for the comparative efficacy and safety of long-acting opioids in the management of chronic non-cancer pain. Randomized trials (for comparative efficacy and adverse events) and observational studies (for adverse events only) that included non-parenteral long-acting opioids were sought using electronic databases, handsearching reference lists, and soliciting pharmaceutical company submissions. Searches were performed through October 2002. The validity of each included study was assessed using a data abstraction form and predefined criteria. An overall grade was allocated for the body of evidence for each key question. A total of 16 randomized trials (comparative efficacy and adverse events), enrolling 1427 patients, and 8 observational studies (adverse events) of 1190 patients were included in this review. No randomized trial was rated good quality; observational studies were generally of poorer quality than the trials. There was insufficient evidence to prove that different long-acting opioids are associated with different efficacy or safety profiles. There was also insufficient evidence to determine whether long-acting opioids as a class are more effective or safer than short-acting opioids. A subgroup of three studies on long-acting versus short-acting oxycodone was more homogeneous and provided fair evidence that these formulations are equally effective for pain control.","We obtained full-text articles if the title and abstract review met the following eligibility criteria: 1. Systematic reviews of the clinical efficacy or adverse event rates of long-acting opioids in patients with chronic non-cancer pain, OR 2. Randomized controlled trials that compared one of the long-acting opioids listed above to another long-acting opioid, a short-acting opioid, a non-opioid, or placebo in adult patients with chronic non-cancer pain, OR 3. Randomized controlled trials and observational studies that reported adverse event rates for one of the long-acting opioids listed above. We re-applied these eligibility criteria to the full-text articles, ensuring that the clinical efficacy or adverse event rates from specific opioids were reported or could be calculated. Although studies of longer duration were preferred, we had no lower limit on the length of follow-up, but excluded “single-dose studies,” which examine the effects of a single dose of medication rather than a course of treatment.",
Comparative efficacy and safety of skeletal muscle relaxants for spasticity and musculoskeletal conditions: a systematic review,"Skeletal muscle relaxants are a heterogeneous group of medications used to treat two different types of underlying conditions: spasticity from upper motor neuron syndromes and muscular pain or spasms from peripheral musculoskeletal conditions. Although widely used for these indications, there appear to be gaps in our understanding of the comparative efficacy and safety of different skeletal muscle relaxants. This systematic review summarizes and assesses the evidence for the comparative efficacy and safety of skeletal muscle relaxants for spasticity and musculoskeletal conditions. Randomized trials (for comparative efficacy and adverse events) and observational studies (for adverse events only) that included oral medications classified as skeletal muscle relaxants by the FDA were sought using electronic databases, reference lists, and pharmaceutical company submissions. Searches were performed through January 2003. The validity of each included study was assessed using a data abstraction form and predefined criteria. An overall grade was allocated for the body of evidence for each key question. A total of 101 randomized trials were included in this review. No randomized trial was rated good quality, and there was little evidence of rigorous adverse event assessment in included trials or observational studies. There is fair evidence that baclofen, tizanidine, and dantrolene are effective compared to placebo in patients with spasticity (primarily multiple sclerosis). There is fair evidence that baclofen and tizanidine are roughly equivalent for efficacy in patients with spasticity, but insufficient evidence to determine the efficacy of dantrolene compared to baclofen or tizanidine. There is fair evidence that although the overall rate of adverse effects between tizanidine and baclofen is similar, tizanidine is associated with more dry mouth and baclofen with more weakness. There is fair evidence that cyclobenzaprine, carisoprodol, orphenadrine, and tizanidine are effective compared to placebo in patients with musculoskeletal conditions (primarily acute back or neck pain). Cyclobenzaprine has been evaluated in the most clinical trials and has consistently been found to be effective. There is very limited or inconsistent data regarding the effectiveness of metaxalone, methocarbamol, chlorzoxazone, baclofen, or dantrolene compared to placebo in patients with musculoskeletal conditions. There is insufficient evidence to determine the relative efficacy or safety of cyclobenzaprine, carisoprodol, orphenadrine, tizanidine, metaxalone, methocarbamol, and chlorzoxazone. Dantrolene, and to a lesser degree chlorzoxazone, have been associated with rare serious hepatotoxicity.","The population included in this review is adult or pediatric patients with spasticity or a musculoskeletal condition. We defined spasticity as muscle spasms associated with an upper motor neuron syndrome. Musculoskeletal conditions were defined as peripheral conditions resulting in muscle or soft tissue pain or spasms. We excluded obstetric and dialysis patients, and patients with restless legs syndrome or nocturnal myoclonus. Senate Bill 819 specifically excludes patients with HIV and patients with cancer. We included the following oral drugs classified as skeletal muscle relaxants: baclofen, carisoprodol, chlorzoxazone, cyclobenzaprine, dantrolene, metaxalone, methocarbamol, orphenadrine, and tizanidine. Other medications used for spasticity but considered to be in another drug class, such as benzodiazepines, quinine, tricyclic antidepressants, gabapentin, and clonidine, were not considered primary drugs in this report, but were reviewed when they were directly compared to an included skeletal muscle relaxant. We excluded trials20., 23., 24., 25., 26., 27. in which an included skeletal muscle relaxant was combined with an analgesic medication unless the comparison arm included the same analgesic medication and dose, trials28 which evaluated skeletal muscle relaxants not approved in the United States, and trials29 which only compared one dose of an included skeletal muscle relaxant with another dose. The main efficacy measures were relief of muscle spasms or pain, functional status, quality of life, withdrawal rates, and adverse effects (including sedation, weakness, addiction, and abuse). We excluded non-clinical outcomes such as electromyogram measurements or spring tension measurements. There is no single accepted standard on how to measure the included outcomes. Spasticity is an especially difficult outcome to measure objectively. The most widely used standardized scales to measure spasticity are the Ashworth30 and modified Ashworth31 scales. In these scales, the assessor tests the resistance to passive movement around a joint and grades it on a scale of 0 (no increase in tone) to 4 (limb rigid in flexion or extension). The modified Ashworth scale adds a “1+” rating between the 1 and 2 ratings of the Ashworth scale. For both of these scales, the scores are usually added for four lower and four upper limb joints, for a total possible score of 0–32, though scoring methods can vary. Other measures of spasticity include the pendulum test, muscle spasm counts, and patient assessment of spasticity severity on a variety of numerical (e.g., 1–3, 1–4, 0–4) or categorical (e.g., none, mild, moderate, severe) scales. Many of these scales have not been validated. Muscle strength is usually assessed with the British Medical Research Council (BMRC) scale, which is based on the observation of resistance provided by voluntary muscle activity.14 An assessor grades each muscle or muscle group independently on a scale of 0 (no observed muscle activation) to 5 (full strength). Most studies measure pain using either visual analogue or categorical pain scales. Visual analogue scales (VAS) consist of a line on a piece of paper labeled 0 at one end, indicating no pain, and a maximum number (commonly 100) at the other, indicating excruciating pain. Patients designate their current pain level on the line. Categorical pain scales, on the other hand, consist of several pain category options from which a patient must choose (e.g., no pain, mild, moderate, or severe). Pain control (improvement in pain) and pain relief (resolution of pain) are also measured using visual analogue and categorical scales. Studies can evaluate functional status using either disease-specific or non-specific scales. Disease-specific scales tend to be more sensitive to changes in status for that particular condition, but non-specific scales allow for some comparisons of functional status between conditions. The most commonly used disease-specific measure of functional and disability status in patients with multiple sclerosis, for example, is the Kurtzke Extended Disability Status Scale (EDSS).32 The EDSS measures both disability and impairment, combining the results of a neurological examination and functional assessments of eight domains into an overall score of 0–10 (in increments of 0.5). Disease-specific scales are also available for other musculoskeletal and spastic conditions.33., 34. Scales that are not disease-specific include the Medical Outcomes Study Short Form-36 (SF-36), Short Form-12 (SF-12), and other multi-question assessments. Another approach to measuring function is to focus on how well the medication helps resolve problems in daily living that patients with spasticity or musculoskeletal conditions commonly face, such as getting enough sleep or staying focused on the job. Some studies also report effects on mood and the preference for one medication over another. We focused on the following common adverse events: somnolence or fatigue, dizziness, dry mouth, and weakness. We also paid special attention to reports of serious hepatic injury, abuse, and addiction.35 In some studies, only “serious” adverse events or adverse events “thought related to treatment medication” are reported. Many studies do not define these terms. We included information on hospitalizations and deaths when available. Because of inconsistent reporting of outcomes, withdrawal rates may be a more reliable surrogate measure for either clinical efficacy or adverse events in studies of skeletal muscle relaxants. High withdrawal rates probably indicate some combination of poor tolerability and ineffectiveness. An important subset is withdrawal due to any adverse event (those who discontinue specifically because of adverse effects), which may indicate an intolerable adverse event.",
Comparative efficacy of adjuvant non-opioid analgesia in adult cardiac surgical patients: A network meta-analysis,"Objectives: To compare the relative efficacy of adjuvant nonopioid analgesic regimens in adult cardiac surgical patients. Design: This frequentist, random-effects network meta-analysis (NMA) was prospectively registered on PROSPERO (CRD42021282913) and conducted according to the Preferred Reporting Items for Systematic Review and Meta-Analyses for Network Meta-Analyses (PRISMA-NMA). The risk of bias (RoB) and confidence of evidence were assessed by RoB 2 and Confidence in Network Meta-Analysis, respectively. Relevant databases were searched from inception to October 9, 2021. Setting: A total of 124 (N = 26,257) randomized controlled trials were included, of which 110 were analyzed. Participants: Trials enrolling adults (≥18 years of age) undergoing cardiac surgery that compared nonopioid analgesics against other nonopioid analgesics, placebo, or no additional treatment, as adjuvants to standard analgesic management, and reported at least 1 of the outcomes of interest. Measurement and main results: Outcomes of interest included resting postoperative pain scores at 24 hours. Compared with standard care and/or placebo, pain scores were reduced significantly by 10 different regimens, including acetaminophen (N = 176; mean difference [MD] -0.66 points, 95% CI -1.16 to -0.15 points; high confidence), magnesium (N = 323; -0.05 points, 95% CI -0.07 to -0.02 points; high confidence), gabapentin (N = 96; MD -0.40 points, 95% CI -0.71 to -0.09; moderate confidence), and clonidine (N = 64; MD v0.38 points, 95% CI -0.73 to v0.04 points; moderate confidence). Indomethacin, diclofenac, magnesium, and gabapentin significantly reduced 24-hour opioid consumption. Four regimens significantly decreased the intensive care unit length of stay. Hydrocortisone, dexmedetomidine, and clonidine significantly decreased the duration of mechanical ventilation. Magnesium decreased, while methylprednisolone significantly increased, the risk of myocardial infarction. Conclusions: Given the increasing emphasis on enhanced recovery after surgery(ERAS) protocols and the eventual goal of limiting opiate prescriptions postoperatively, the authors' data suggested far greater use of nonopioid adjuncts to minimize pain and enhance recovery following cardiac surgery.","The study authors included randomized controlled trials (RCTs) that compared nonopioid analgesics against other active nonopioid analgesics, placebo, or no additional treatment, as adjuvant therapy with standard analgesic management among adults (≥18 years of age) undergoing cardiac surgery. There were no language or date restrictions to minimize the risk of publication bias. The authors excluded trials enrolling patients undergoing minimally invasive surgery and those studying nerve blocks and local anesthetics.",
"Coronary heart disease, heart failure, and the risk of dementia: A systematic review and meta_analysis","Introduction: Cardiovascular risk factors are closely linked with dementia risk, but whether heart disease predisposes to dementia is uncertain. Methods: We systematically reviewed the literature and meta-analyzed risk estimates from longitudinal studies reporting the association of coronary heart disease (CHD) or heart failure (HF) with risk of dementia. Results: We identified 16 studies (1,309,483 individuals) regarding CHD, and seven studies (1,958,702 individuals) about HF. A history of CHD was associated with a 27% increased risk of dementia (pooled relative risk [RR] [95% confidence interval, CI]: 1.27 [1.07-1.50]), albeit with considerable heterogeneity across studies (I2 = 80%). HF was associated with 60% increased dementia risk (pooled RR 1.60 [1.19-2.13]) with moderate heterogeneity (I2 = 59%). Among prospective population-based cohorts, pooled estimates were similar (for CHD, RR 1.26 [1.06-1.49], nine studies; and HF, RR 1.80 [1.41-2.31], four studies) and highly consistent (I2 = 0%). Conclusion: CHD and HF are associated with an increased risk of dementia.","We imported all retrieved records into an EndNote (Clarivate Analytics) library, and two investigators (F.J.W. and R.A.S.) independently screened all articles for eligibility, using the following inclusion criteria: (1) cohort studies or longitudinal studies conducted with routinely collected health care data (e.g., national medical registries or insurance databases); (2) determinant CHD (i.e., myocardial infarction with or without angina or coronary revascularization) or CHF; and (3) report of incident dementia diagnosis as the outcome (i.e., at least all-cause dementia or AD as its most common subtype). We chose all-cause dementia as the main outcome measure of interest for this meta-analysis because a syndrome diagnosis of dementia can be defined with high consistency across studies and is less dependent on advanced diagnostic testing that is often not feasible in large (population-based) studies. Yet, we acknowledge the importance of various neuropathologies underlying the clinical picture of dementia, in particular, as heart disease may relate stronger to cerebrovascular pathology than to other neuropathology. To provide more insight into the association of CHD and CHF with dementia independent of manifest cerebrovascular disease, we therefore adopted a clinical diagnosis of AD (per study protocol) as a secondary outcome measure. If multiple results were reported for the same cohort, we preferred the longer follow-up duration [10], [11], longer follow-up along with more comprehensive assessment of exposure [12], [13], larger number of incident dementia cases [14]-[17], most contemporary data [13], or the study in which selection bias was considered least likely [18]. In case of disagreement between assessors, consensus was reached through discussion.",
